ZEN245,"RAKEI, JORDAN",Wallflower,Ninja Tune,Soul / R&B,,5054429119633,LPx2,24.00,2017
ZEN245X,"RAKEI, JORDAN",Wallflower (180g clear vinyl indie exclusive),Ninja Tune,Soul / R&B,INDIE ONLY,5054429119626,LPx2,24.00,2017
17949-0136-5,REPTALIENS,Reptaliens,SD / Captured Tracks,Rock-Pop,,817949013653,CD,10.00,2017
CT268,REPTALIENS,Reptaliens,SD / Captured Tracks,Rock-Pop,,817949013646,LP,13.50,2017
FLT046,RITUAL HOWLS,Their Body,SD / Felte,Rock-Pop,,616892502647,"12""EP",8.25,2017
TLR049,"ROSE, JACK",I Do Play Rock & Roll,Redeye / Three Lobed,Rock-Pop,,711574797714,LP,22.11,2017
34457-7789-2,RVIVR,The Beauty Between,Redeye / Don Giovanni,Rock-Pop,,634457778924,CD,10.92,2017
34457-7791-2,RVIVR,The Joester Sessions '08-'11,Redeye / Don Giovanni,Rock-Pop,,634457779129,CD,10.92,2017
THRILL016,"SEA AND CAKE, THE",The Biz (25th anniversary reissue on gold vinyl),Thrill Jockey,Rock-Pop,,790377001617,LP,18.67,2017
THRILL021,"SEA AND CAKE, THE","Nassau (Thrill Jockey 25th anniversary reissue on LP1 translucent blue, LP2 translucent green!)",Thrill Jockey,Rock-Pop,,790377002119,LPx2,22.25,2017
THRILL026,"SEA AND CAKE, THE",The Sea and Cake (25th anniversary reissue on light blue colour vinyl),Thrill Jockey,Rock-Pop,,790377002614,LP,18.67,2017
04297-8301-2,SHIGETO,The New Monday,SD / Ghostly Int'l,Electronic,,804297830124,CD,12.00,2017
GI301,SHIGETO,The New Monday,SD / Ghostly Int'l,Electronic,,804297830117,LPx2,19.00,2017
GI301LP-C1,SHIGETO,The New Monday (very limited black with pink speckle vinyl),SD / Ghostly Int'l,Electronic,INDIE ONLY,804297830131,LPx2,19.00,2017
54697-4437-7,SHILPA RAY,Door Girl,Redeye / Northern Spy,Rock-Pop,,754697443779,CD,12.96,2017
NS093,SHILPA RAY,Door Girl,Redeye / Northern Spy,Rock-Pop,,754697443786,LP ,24.90,2017
16892-4970-4,"SMITH, KAITLYN AURELIA",The Kid,SD / Western Vinyl,Electronic / Experimental,,616892497042,CD,12.00,2017
WV170,"SMITH, KAITLYN AURELIA",The Kid,SD / Western Vinyl,Electronic / Experimental,,616892496946,LPx2,20.00,2017
WV170LP-C1,"SMITH, KAITLYN AURELIA",The Kid (limited edition - indie only version),SD / Western Vinyl,Electronic / Experimental,INDIE ONLY,616892515142,LPx2,22.00,2017
82388-1099-2,SNOG,Corporate_Slave_2525,Metropolis,Electronic,,782388109925,CD,11.00,2017
34457-4819-9,SOTE,Sacred Horror In Design,Redeye / Opal Tapes,World,,634457481992,CD,11.96,2017
23339-1997-2,"SOULJAZZ ORCHESTRA, THE",Under Burning Skies,Do Right! Music,Jazz / Soul,,623339199728,CD,9.83,2017
DR073LP,"SOULJAZZ ORCHESTRA, THE",Under Burning Skies,Do Right! Music,Jazz / Soul,,623339199711,LP,20.81,2017
14270-6914-5,SOUND OF CERES,The Twin,SD / Joyful Noise,Rock-Pop,,714270691454,CD,11.00,2017
JNR234,SOUND OF CERES,The Twin (limited),SD / Joyful Noise,Rock-Pop,,714270691461,LP,12.00,2017
JNR234lp-C1,SOUND OF CERES,The Twin (limited indie only coloured version),SD / Joyful Noise,Rock-Pop,INDIE ONLY,714270691478,LP,13.50,2017
34457-7787-2,STRANGE RANGER,Daymoon,Redeye / Tiny Engines,Rock-Pop,,634457778726,CD,12.96,2017
TE173,STRANGE RANGER,Daymoon (translucent red LP),Redeye / Tiny Engines,Rock-Pop,,634457778719,LP,17.95,2017
16670-1658-6,SUGAI KEN,UkabazUmorezU,SD / RVNG Int'l,Electronic / Experimental - Japan,,716670165863,CD,10.00,2017
RVNGNL040,SUGAI KEN,UkabazUmorezU,SD / RVNG Int'l,Electronic / Experimental - Japan,,716670165856,LP,12.00,2017
THRILL452-BOOK,TORTOISE,The Catastrophist Tour Book,Thrill Jockey,Rock-Pop,,790377045222,Book+CD,24.00,2017
MRL173 ,TOUGH AGE,Shame,Mint Records ,Rock-Pop,Canadian,773871017315,LP,14.00,2017
98787-1143-2,U-MEN,U-Men,Sub Pop,Rock-Pop,,098787114324,CDx2,15.70,2017
SP1143,U-MEN,U-Men (3 LP set in cardboard slip case with printed inner sleeve & 16 pg booklet),Sub Pop,Rock-Pop,,098787114317,LPx3,40.00,2017
THRILL448,UPPER WILDS,Guitar Module 2017,Thrill Jockey,Rock-Pop,,790377044812,LP,20.50,2017
14427-9855-2,VARIOUS ARTISTS,Magic Moments X ,ACT,Jazz,,614427985521,CD,14.50,2017
30003-1324-2,VARIOUS ARTISTS,Kev Beadle preseents Private Collection Vol. 3,!K7 / BBE,Jazz,,730003132421,CD,13.00,2017
BBE324CLP,VARIOUS ARTISTS,Kev Beadle preseents Private Collection Vol. 3,!K7 / BBE,Jazz,,730003132414,LPx3,26.00,2017
26853-0156-2,VARIOUS ARTISTS,Even A Tree Can Shed Tears Japanese Folk & Rock 1969-1973,Light In the Attic ,World/Folk,,826853015622,CD,17.70,2017
LITA156,VARIOUS ARTISTS,Even A Tree Can Shed Tears Japanese Folk & Rock 1969-1973,Light In the Attic ,World/Folk,,826853015615,LPX2,34.27,2017
14427-9847-2,"WESSELTOFT, BUGGE",Everybody Loves Angels,ACT,Jazz,,614427984722,CD,14.50,2017
ACTLP98471,"WESSELTOFT, BUGGE",Everybody Loves Angels,ACT,Jazz,,614427984715,LP,17.00,2017
34457-7900-2,WILD ONES,Mirror Touch,Redeye / Topshelf Records,Rock-Pop,,634457790025,CD,10.92,2017
TSR178,WILD ONES,Mirror Touch,Redeye / Topshelf Records,Rock-Pop,,634457790018,LP,18.91,2017
56605-2312-2,"WOODS, JAMILA",HEAVN,SD / Jagjaguwar,Soul / R&B ,,656605231228,CD,10.00,2017
JAG312,"WOODS, JAMILA",HEAVN,SD / Jagjaguwar,Soul / R&B ,,656605231211,LP,13.50,2017
JAG312lp-C1,"WOODS, JAMILA",HEAVN (indie only white vinyl),SD / Jagjaguwar,Soul / R&B ,INDIE ONLY,656605231235,LP,13.50,2017
CSN100,YUMI ZOUMA,Willowbank,Redeye / Cascine,Electronic,,600246985705,LP,18.91,2017
CSN100LE,YUMI ZOUMA,Willowbank (Indie only white vinyl),Redeye / Cascine,Electronic,INDIE ONLY,600246985712,LP,18.91,2017
55300-3925-8,ZIUR,U Feel Anything?,Redeye / Planet Mu Records Ltd,Electronic,,5055300392589,CD,23.94,2017
ZIQ391,ZIUR,U Feel Anything?,Redeye / Planet Mu Records Ltd,Electronic,,5055300392572,LP,23.94,2017
67257-6255-2,"ALMEIDA, ELIDA",Kebrada,Lusafrica,World,,3567257625525,CD,11.73,2017
NON017,ANGEL-HO,Red Devil,Redeye / NON Worldwide,Electronic,,634457746619,LP,25.83,2017
YEP2549,"APPLES IN STEREO, THE",Tone Soul Evolution,Yep Roc Records,Rock-Pop,,634457254916,LP,19.90,2017
90125-1691-1,"BARERA, JOHN & WILL MARTIN",Proceed To The Root,SD / 2MR,Electronic,,090125169119,CD,10.00,2017
FOF163LE,"BARFOD, THOMAS",Paloma,Redeye / Friends of Friends,Electronic,,634457792012,LP,18.91,2017
05520-6210-3,BLUE ROSE CODE,The Water Of Leith,Redeye / Navigator Records,Folk,,805520621038,CD,12.96,2017
14427-9849-2,"BOLLANI TRIO, STEFANO",Mediterraneo,ACT,Jazz,,614427984920,CD,15.50,2017
02224-1258-2,BVDUB,Heartless,Redeye / n5MD,Electronic,,702224125827,CD,11.98,2017
MD258,BVDUB,Heartless,Redeye / n5MD,Electronic,,702224125810,LPx2,22.88,2017
SBR123lp-C3,"CARPENTER, JOHN",Lost Themes (Sacred Bones 10th anniversary edition on green vinyl - very limited),SD / Sacred Bones,OST,INDIE ONLY,616892520740,LP,13.50,2017
SBR150lp-C2,"CARPENTER, JOHN","Lost Themes II (Sacred Bones 10th anniversary edition on ""last sunrise"" coloured vinyl - very limited)",SD / Sacred Bones,OST,INDIE ONLY,616892520849,LP,13.50,2017
RELIC91,CAVERNLIGHT,As We Cup Our Hands and Drink From The Stream of Our Ache,Thrill Jockey,Doom Metal,,798577011528,LP,22.25,2017
30003-7358-2,"CHANDLER, KERRI",Kerri Chandler DJ-Kicks,!K7,House / Electronic,,730003735820,CD,12.00,2017
k7358LP,"CHANDLER, KERRI",Kerri Chandler DJ-Kicks,!K7,House / Electronic,,730003735813,LPx2,25.00,2017
KWLON008,"CHANG, IAN",Spiritual Leader EP (clear vinyl),Redeye / Kowloon Records,Electronic,,5060470600099,LP,14.96,2017
AHED10020,COLDCUT X ON-U SOUND,Kajra,Ninja Tune / Ahead Of Our Time,Electronic / Reggae / Dub,,5054429119336,"10""",12.00,2017
BTV110,"COLLECTION, THE",Listen to the River,Redeye / Burnt Toast Vinyl,Rock-Pop,,798154878919,LP,19.90,2017
LAB013-7,CONTROLLER.CONTROLLER,"She's Lost Control w/ History 7"" (Sebastien Grainger Remix)",Label Obscura,Rock-Pop,Canadian,623339206419,"7""",5.50,2017
60146-0976-3,"CORNSHED SISTERS, THE",Honey & Tar,Redeye / Memphis Industries,Folk,,5060146097635,CD,12.96,2017
