Guild,GMCD7165,795754716528,Durufle; Rachmaninoff; Reger,Around the World in 80 Minutes,Nigel Potts,1,CD,1999,Instrumental,UK,9.35,$14.99 ,CN15,,,,,,,,,,
Guild,GMCD7166,795754716627,Howells; Redding; Rutter,Christmas with Chapterhouse Choir,Chapter House Choir; Moore,1,CD,1999,Choral,UK,9.35,$14.99 ,CN15,,,,,,,,,,
Guild,GMCD7169,795754716924,Sammartini; Telemann; Vivaldi,Art of Horacio Franco,Georgian Chamber Orchestra; Franco,1,CD,1999,Orchestral,UK,9.35,$14.99 ,CN15,,,,,,,,,,
Guild,GMCD7170,795754717020,Bach; Brahms; Gruber; Rutter,Silent Night,Choir of Christ's Hospital,1,CD,1999,Choral,UK,9.35,$14.99 ,CN15,,,,,,,,,,
Guild,GMCD7171,795754717129,"Eschmann, Johann Carl",Johann Carl Eschmann,Ceruti Quartet; Lee; Howat; Lewis,1,CD,1999,Chamber,UK,9.35,$14.99 ,CN15,,,,,,,,,,
Guild,GMCD7172,795754717228,"Mozart, W.A.",V1: Late Symphonies,Bournemouth Sinfonietta,1,CD,1999,Orchestral,UK,9.35,$14.99 ,CN15,,,,,,,,,,
Guild,GMCD7173,795754717327,"Dupre, Marcel",V6: Complete Organ Works,Jeremy Filsell,1,CD,1999,Instrumental,UK,9.35,$14.99 ,CN15,,,,,,,,,,
Guild,GMCD7174,795754717426,Carter; Andrew,Canzonetta Sing Carter,Canzonetta,1,CD,1999,Choral,UK,9.35,$14.99 ,CN15,,,,,,,,,,
Guild,GMCD7175,795754717525,Bachofen; Greiter; Hofhaimer,Zurich Arise,Choir of Gonville & Caius College Cambridge,1,CD,1999,Choral,UK,9.35,$14.99 ,CN15,,,,,,,,,,
Guild,GMCD7176,795754717624,Angulo; Rodrigo; Villa-Lobos,Angulo,Bournemouth Sinfonietta; Jimenez,1,CD,2000,Orchestral,UK,9.35,$14.99 ,CN15,,,,,,,,,,
Guild,GMCD7177,795754717723,Schaeuble; Schutter; Brunner,Christ Ascended,Choir of Gonville & Caius College Cambridge,1,CD,1999,Choral,UK,9.35,$14.99 ,CN15,,,,,,,,,,
Guild,GMCD7178,795754717822,"Caldwell, John",Good Friday,"Choir of Lincoln College, Oxford; Oxford Contemporary Sinfonia; Royal Philharmonic Orchestra",1,CD,2000,Choral,UK,9.35,$14.99 ,CN15,,,,,,,,,,
Guild,GMCD7179,795754717921,Borodin; Dvorak,Dvorak & Brodin,St Petersburg Chamber Players; Ioff; Appleman; Ludevig; Massarsky; Uryash,1,CD,2000,Orchestral,UK,9.35,$14.99 ,CN15,,,,,,,,,,
Guild,GMCD7180,795754718027,"Dupre, Marcel",V7: Complete Organ Works,Jeremy Filsell,1,CD,2000,Instrumental,UK,9.35,$14.99 ,CN15,,,,,,,,,,
Guild,GMCD7181,795754718126,"Mozart, W.A.",Sinfonia Concertante,Bournemouth Sinfonietta,1,CD,2000,Orchestral,UK,9.35,$14.99 ,CN15,,,,,,,,,,
Guild,GMCD7182,795754718225,Jongen; Tippett; Widor,V7: Master Works,Ingolstadt Philharmonic; Hauk,1,CD,2000,Orchestral,UK,9.35,$14.99 ,CN15,,,,,,,,,,
Guild,GMCD7183,795754718324,"Dupre, Marcel",V8: Complete Organ Works,Jeremy Filsell,1,CD,2000,Instrumental,UK,9.35,$14.99 ,CN15,,,,,,,,,,
Guild,GMCD7184,795754718423,Liste; Anton,Music by Anton Liste,Zolinsky; S. Davislim; G. Davislim; Rutherford; Fong,1,CD,2000,Instrumental,UK,9.35,$14.99 ,CN15,,,,,,,,,,
Guild,GMCD7185,795754718522,Dubois; Gounod; Guilmant; ,V1: Triumphal Music,Ingolstadt Philharmonic; Hauk,1,CD,2000,Orchestral,UK,9.35,$14.99 ,CN15,,,,,,,,,,
Guild,GMCD7186,795754718621,"Chopin, Frederic",M. Block Plays Chopin,Michel Block,1,CD,2000,Instrumental,UK,9.35,$14.99 ,CN15,,,,,,,,,,
Guild,GMCD7187,795754718720,Dubois; Gruber; Guilmant,V2: Triumphal Music,Ingolstadt Philharmonic; Hauk; Maier; Gonaschwili; Kuraschwili,1,CD,2000,Orchestral,UK,9.35,$14.99 ,CN15,,,,,,,,,,
Guild,GMCD7188,795754718829,"Dupre, Marcel",V9: Complete Organ Works,Jeremy Filsell,1,CD,2000,Instrumental,UK,9.35,$14.99 ,CN15,,,,,,,,,,
Guild,GMCD7189,795754718928,Marek; Jarnach; Frey; Busoni,Eye of the Storm,Ceruti Quartet; Zolinsky; Potts; Lewis; Grant; Pearson,1,CD,2000,Instrumental,UK,9.35,$14.99 ,CN15,,,,,,,,,,
Guild,GMCD7190,795754719024,"Chopin, Frederic",M. Block Plays Chopin,Michel Block,1,CD,2000,Instrumental,UK,9.35,$14.99 ,CN15,,,,,,,,,,
Guild,GMCD7191,795754719123,Langlais; Vaughan Williams,Music for Violin & Organ,Gough Duo,1,CD,2000,Instrumental,UK,9.35,$14.99 ,CN15,,,,,,,,,,
Guild,GMCD7192,795754719222,"Reger, Max",Organ Masterworks,Franz Hauk,1,CD,2000,Instrumental,UK,9.35,$14.99 ,CN15,,,,,,,,,,
